Fantasquadra,Ruolo,Calciatore,Costo
Tanagro,P,Meret,11
Cuba Libre,P,Martinez Jo.,17
Juventus Tarantina,P,Svilar,18
Forzamessina,P,Maignan,15
Aquilerosanero,P,Butez,16
Athletic Sparta,P,Svilar,18
Manduria nerazzurra,P,Martinez Jo.,17
Real Torretta,P,Martinez Jo.,17
Atletico birra raffo,P,Svilar,18
Friariello,P,Meret,11
InfameDiPalla,P,Butez,16
Camerlonasoccer Team,P,Meret,11
Tanagro,P,Milinkovic-Savic V.,5
Cuba Libre,P,Provedel,2
Juventus Tarantina,P,De Marzi,1
Forzamessina,P,Corvi,1
Aquilerosanero,P,Tornqvist,1
Athletic Sparta,P,Corvi,1
Manduria nerazzurra,P,Provedel,2
Real Torretta,P,Provedel,2
Atletico birra raffo,P,Corvi,1
Friariello,P,Milinkovic-Savic V.,5
InfameDiPalla,P,Tornqvist,1
Camerlonasoccer Team,P,Milinkovic-Savic V.,5
Tanagro,P,Contini,1
Cuba Libre,P,Di Gennaro,1
Juventus Tarantina,P,Gollini,1
Forzamessina,P,Terracciano,1
Aquilerosanero,P,Vigorito,1
Athletic Sparta,P,Gollini,1
Manduria nerazzurra,P,Di Gennaro,1
Real Torretta,P,Di Gennaro,1
Atletico birra raffo,P,Gollini,1
Friariello,P,Contini,1
InfameDiPalla,P,Vigorito,1
Camerlonasoccer Team,P,Contini,1
Tanagro,D,Di Lorenzo,12
Cuba Libre,D,Dimarco,32
Juventus Tarantina,D,Bremer,15
Forzamessina,D,Dimarco,32
Aquilerosanero,D,Dimarco,32
Athletic Sparta,D,Bremer,15
Manduria nerazzurra,D,Stones,12
Real Torretta,D,Akanji,16
Atletico birra raffo,D,Cambiaso,9
Friariello,D,Chalobah T.,9
InfameDiPalla,D,Bremer,15
Camerlonasoccer Team,D,Rrahmani,14
Tanagro,D,Norton-Cuffy,8
Cuba Libre,D,Bartesaghi,8
Juventus Tarantina,D,Solet,13
Forzamessina,D,Cambiaso,9
Aquilerosanero,D,Molina N.,18
Athletic Sparta,D,Di Lorenzo,12
Manduria nerazzurra,D,Vojvoda,8
Real Torretta,D,Spence,12
Atletico birra raffo,D,Vojvoda,8
Friariello,D,Lucumì,8
InfameDiPalla,D,Ostigard,11
Camerlonasoccer Team,D,Chalobah T.,9
Tanagro,D,Dragusin,8
Cuba Libre,D,Bernasconi,6
Juventus Tarantina,D,Miranda J.,8
Forzamessina,D,Lucumì,8
Aquilerosanero,D,Solet,13
Athletic Sparta,D,Kristensen T.,7
Manduria nerazzurra,D,Kaiki,7
Real Torretta,D,Stones,12
Atletico birra raffo,D,Valdepenas,6
Friariello,D,Spinazzola,8
InfameDiPalla,D,Valdepenas,6
Camerlonasoccer Team,D,Norton-Cuffy,8
Tanagro,D,Bernasconi,6
Cuba Libre,D,Kamara H.,6
Juventus Tarantina,D,Doekhi,7
Forzamessina,D,Kelly L.,5
Aquilerosanero,D,Kaiki,7
Athletic Sparta,D,Bellanova,6
Manduria nerazzurra,D,Kristensen T.,7
Real Torretta,D,Hermoso,10
Atletico birra raffo,D,Rodriguez Ju.,3
Friariello,D,Kristensen T.,7
InfameDiPalla,D,Bernasconi,6
Camerlonasoccer Team,D,Bella-Kotchap,6
Tanagro,D,Hainaut,3
Cuba Libre,D,Kelly L.,5
Juventus Tarantina,D,Joao Mario,3
Forzamessina,D,Joao Mario,3
Aquilerosanero,D,Martin,5
Athletic Sparta,D,Zortea,6
Manduria nerazzurra,D,Bernasconi,6
Real Torretta,D,Provstgaard,3
Atletico birra raffo,D,Troilo,3
Friariello,D,Marcandalli,6
InfameDiPalla,D,Zortea,6
Camerlonasoccer Team,D,Troilo,3
Tanagro,D,Palma,2
Cuba Libre,D,Olivera,5
Juventus Tarantina,D,Cinquegrano,1
Forzamessina,D,Hainaut,3
Aquilerosanero,D,Marin R.,2
Athletic Sparta,D,Cinquegrano,1
Manduria nerazzurra,D,Rodriguez Ju.,3
Real Torretta,D,Palma,2
Atletico birra raffo,D,Carboni A.,3
Friariello,D,Marusic,6
InfameDiPalla,D,Puczka,2
Camerlonasoccer Team,D,Joao Mario,3
Tanagro,D,Cinquegrano,1
Cuba Libre,D,Carboni F.,1
Juventus Tarantina,D,Odenthal,1
Forzamessina,D,Palma,2
Aquilerosanero,D,Cabal,1
Athletic Sparta,D,Ndiaye,1
Manduria nerazzurra,D,Antov,1
Real Torretta,D,Abankwah,1
Atletico birra raffo,D,Palma,2
Friariello,D,Olivera,5
InfameDiPalla,D,Cabal,1
Camerlonasoccer Team,D,Kossounou,3
Tanagro,C,Paz N.,30
Cuba Libre,C,Paz N.,30
Juventus Tarantina,C,McTominay,28
Forzamessina,C,McTominay,28
Aquilerosanero,C,Paz N.,30
Athletic Sparta,C,Paz N.,30
Manduria nerazzurra,C,Calhanoglu,27
Real Torretta,C,Calhanoglu,27
Atletico birra raffo,C,Paz N.,30
Friariello,C,McTominay,28
InfameDiPalla,C,Paz N.,30
Camerlonasoccer Team,C,Paz N.,30
Tanagro,C,McTominay,28
Cuba Libre,C,Modric,12
Juventus Tarantina,C,Zaniolo,18
