Tipo,Posizione,Fantasquadra,Punti
Generale,1,Manduria nerazzurra,331.0
Generale,2,Castellaneta Marina,329.5
Generale,3,Aquilerosanero,324.5
Generale,4,Atletico Mandrillo,324.0
Generale,5,Forzamessina,317.0
Generale,6,E-Team,317.0
Generale,7,Squirting Lisbona,316.5
Generale,8,Paris Saint Gennaro,313.0
Generale,9,InfameDiPalla,310.5
Generale,10,Gallipoli 2023,307.5
Generale,11,Athletic Sparta,307.0
Generale,12,Juventus Tarantina,304.5
Generale,13,Camerlonasoccer Team,301.5
Generale,14,Real Torretta,298.0
Generale,15,Cuba Libre,291.5
Generale,16,Atletico birra raffo,290.5
Generale,17,Tanagro,284.5
Generale,18,Friariello,279.5
