Nome,Squadra,Ruolo,PG,MV,FM,FVM,Quotazione
Orsolini,Bologna,C,2,5.75,5.75,37,24
Pulisic,Milan,C,1,6.5,7,36,24
Scamacca,Atalanta,A,4,6.12,6.88,26,20
Krstovic,Atalanta,A,4,5.75,6.38,23,17
Barella,Inter,C,4,6.5,7.5,22,18
Da Cunha,Como,C,4,6.38,6.38,21,18
Laurientè,Sassuolo,A,4,6.38,6.5,20,16
Leao*,Milan,A,0,0,0,19,0
Castro S.,Roma,A,4,6,6,15,14
Santos A.,Napoli,A,3,6,6,14,14
Beto,Fiorentina,A,2,5.75,5.75,13,14
Colombo,Genoa,A,4,5.75,5.25,13,10
Esposito Se.,Sassuolo,A,1,7.5,10.5,11,13
Lukaku*,Napoli,A,0,0,0,11,0
Taylor K.,Lazio,C,4,6,6,11,13
Bastoni,Inter,D,4,6.12,6.12,11,14
Dovbyk,Bologna,A,3,5.83,6.67,10,16
Alajbegovic,Juventus,C,3,5.67,5.67,10,11
Romero D.,Parma,A,3,6.33,7.33,9,11
Adams A.,Venezia,A,4,5.75,6.5,9,12
Perrone,Como,C,4,6.25,6.25,9,11
Bisseck,Inter,D,3,6.67,7.67,9,12
Yeboah J.,Venezia,A,4,6.25,7,8,10
Calò,Frosinone,C,4,6.38,6.62,8,9
Bernabè,Parma,C,3,5.83,5.83,8,7
Pisilli,Roma,C,3,6.5,8.33,8,8
Thorstvedt,Sassuolo,C,4,5.88,5.88,8,10
Zambo Anguissa,Napoli,C,3,5.33,5.33,8,10
Ghedjemis,Frosinone,A,2,6.25,6.25,7,9
Schmid,Frosinone,C,4,6,6,7,8
Cacciamani,Torino,C,4,6.12,6.38,7,7
Saelemaekers,Milan,C,3,6.17,6.5,7,10
Cristante,Roma,C,4,6.25,6.25,7,9
Gutierrez*,Napoli,D,0,0,0,7,0
Okoye,Udinese,P,4,6.38,3.88,7,8
Skorupski,Bologna,P,3,5.83,4.5,7,10
Kevin Carlos,Cagliari,A,1,5.5,5,6,11
Ratkov*,Lazio,A,0,0,0,6,0
David*,Juventus,A,1,5,5,6,0
Boga,Juventus,A,3,5.83,5.83,6,6
Rodriguez Je.,Como,C,2,5.75,5.75,6,11
Ferguson,Bologna,C,4,6.12,6.12,6,8
Baldanzi,Genoa,C,4,5.88,5.88,6,11
Zhegrova,Juventus,C,2,6.75,9.75,6,8
Volpato,Sassuolo,C,3,6.67,7.5,6,9
Cambiaghi,Bologna,C,4,5.88,5.75,6,8
Valeri,Parma,D,4,6.12,6.12,6,9
Caprile,Cagliari,P,4,6.38,5.88,6,11
Falcone,Lecce,P,4,6.12,4.25,6,8
Gnonto,Fiorentina,A,2,5.75,5.75,5,7
Zeballos,Monza,A,1,6.5,9.5,5,7
Bonny,Inter,A,2,6.5,8,5,8
Dia*,Lazio,A,2,6,6.25,5,0
Geubbels,Lecce,A,2,5.25,5.25,5,8
Nkunku*,Milan,A,0,0,0,5,0
Braganca,Torino,C,2,6.25,6.25,5,7
Monteiro J.,Lecce,C,2,5.5,5.5,5,7
Hutchinson,Milan,C,0,0,0,5,7
Fitz-Jim,Torino,C,4,6,6,5,6
Romano,Cagliari,C,4,6.62,7.38,5,8
Sucic P.,Inter,C,3,6.17,6.17,5,8
Bakola,Sassuolo,C,3,6.17,6.5,5,6
Ondrejka*,Parma,C,0,0,0,5,0
Mbangula,Bologna,C,0,0,0,5,7
Konè I.,Sassuolo,C,0,0,0,5,8
Karlstrom,Udinese,C,4,6.25,6.88,5,8
Pierotti,Lecce,C,4,5.75,5.75,5,6
Casadei,Torino,C,1,5,5,5,9
Frendrup,Genoa,C,4,5.62,5.62,5,7
Cancellieri,Lazio,C,4,6.12,6.75,5,10
Elmas,Atalanta,C,2,5.5,5.5,5,6
Fagioli,Fiorentina,C,4,5.88,6,5,8
Pasalic,Atalanta,C,3,5.5,5.5,5,8
Pellegrini Lo.,Roma,C,0,0,0,5,9
Sutalo J.,Lazio,D,1,5.5,5.5,5,6
Delprato,Parma,D,4,6,5.88,5,8
Dragusin,Fiorentina,D,4,5,5.12,5,8
Diego Carlos,Parma,D,2,5.5,5.5,5,8
Romagnoli*,Lazio,D,0,0,0,5,0
Suzuki*,Parma,P,0,0,0,5,0
Mendy P.,Cagliari,A,4,6.25,7,4,7
Noslin,Lazio,A,2,6.5,8,4,8
Camarda,Milan,A,0,0,0,4,4
Oulai,Fiorentina,C,3,5.67,5.67,4,6
Tourè I.,Monza,C,0,0,0,4,5
Perez K.,Venezia,C,4,5.88,5.75,4,6
Keita M.,Parma,C,4,5.75,5.62,4,6
Unai Gomez,Udinese,C,3,5.67,6,4,7
Ndour,Fiorentina,C,4,5.5,5.5,4,8
Moro N.,Bologna,C,2,5.75,5.75,4,4
Ellertsson,Genoa,C,4,5.62,5.62,4,6
Sow,Genoa,C,4,5.75,5.88,4,7
Colpani,Monza,C,4,5.75,6.5,4,9
Basic,Venezia,C,2,5.75,5.75,4,6
Thuram K.,Juventus,C,0,0,0,4,9
Coulibaly L.,Lecce,C,4,6.38,8.12,4,9
Rovella,Lazio,C,2,6.25,6.25,4,6
Winks,Cagliari,C,4,6.12,6.12,4,7
Loftus-Cheek,Milan,C,4,5.75,5.62,4,4
Odgaard,Bologna,C,4,5.62,5.5,4,7
Pessina,Monza,C,0,0,0,4,6
Locatelli,Juventus,C,3,6.17,6.33,4,8
Favasuli,Napoli,D,1,7,8,4,5
Comert,Torino,D,3,6,6.33,4,5
Zè Pedro,Cagliari,D,4,6.25,6.12,4,7
Kouadio,Monza,D,4,5.62,5.5,4,4
Belghali,Torino,D,2,6,6.5,4,8
Norton-Cuffy*,Genoa,D,2,5.75,5.75,4,0
Idzes,Sassuolo,D,3,6.17,6,4,7
Coco,Torino,D,4,5.88,5.88,4,7
Jimenez A.,Fiorentina,D,3,5.5,5.67,4,8
Leite,Lazio,D,0,0,0,4,6
Dodò,Fiorentina,D,1,5,5,4,9
Birindelli,Monza,D,4,5.88,6.12,4,6
Obert,Cagliari,D,4,6,6,4,8
Bellanova,Atalanta,D,2,5.5,5.25,4,5
Pedraza,Lazio,D,2,6,6,4,5
Balerdi,Roma,D,2,6.75,6.75,4,7
Zortea,Bologna,D,2,6,6,4,6
Gabbia,Milan,D,1,6,6,4,6
Mina,Cagliari,D,0,0,0,4,7
Pavard,Inter,D,2,5.75,5.75,4,6
Buongiorno,Napoli,D,0,0,0,4,6
Djimsiti*,Atalanta,D,0,0,0,4,0
Zappacosta,Atalanta,D,3,5.83,5.83,4,8
Perri,Torino,P,2,5.5,4,4,9
Muric,Sassuolo,P,4,5.88,4.12,4,6
Bobcek,Frosinone,A,1,6,6,3,9
Robinson J.,Monza,A,2,6.75,8.25,3,6
Rrahmani Al.,Venezia,A,1,5.5,5.5,3,7
Elphege,Parma,A,2,5.5,5.5,3,3
Gueye,Udinese,A,3,6,7,3,6
Stulic,Lecce,A,4,5.5,5.5,3,7
Lang,Napoli,A,3,5.83,5.83,3,4
Gimenez*,Milan,A,0,0,0,3,0
N'Dri,Lecce,A,4,5.88,5.75,3,4
Dallinga*,Bologna,A,0,0,0,3,0
Vitinha O.,Genoa,A,4,5.62,5.62,3,8
Ngonge,Monza,A,0,0,0,3,4
Zapata D.,Torino,A,1,5.5,5.5,3,6
Massolin,Cagliari,C,0,0,0,3,4
Grillitsch,Frosinone,C,0,0,0,3,4
Diallo O.,Parma,C,1,6,6,3,3
Koutsoupias*,Frosinone,C,0,0,0,3,0
Cichella,Frosinone,C,2,5.75,5.75,3,4
Amorim,Genoa,C,2,6,6,3,4
Ngom,Lecce,C,4,5.62,5.5,3,4
Gorter,Lecce,C,2,6,7.5,3,3
Sorensen O.*,Parma,C,0,0,0,3,0
Miller L.,Udinese,C,4,5.88,5.75,3,4
Jashari,Milan,C,2,6.25,6.25,3,5
Piotrowski,Udinese,C,2,6.25,7.5,3,6
Addai,Como,C,0,0,0,3,4
Dominguez B.,Sassuolo,C,3,5.83,5.83,3,4
Fadera,Cagliari,C,3,6,6,3,4
Liberali,Como,C,1,6,6,3,6
Dele-Bashiru,Lazio,C,1,5.5,5.5,3,4
Akinsanmiro,Monza,C,3,6,6.33,3,7
Fini,Frosinone,C,4,6.12,6.12,3,5
El Aynaoui*,Roma,C,0,0,0,3,0
El Azzouzi O.,Bologna,C,1,5,4.5,3,2
Oristanio,Torino,C,0,0,0,3,6
Almqvist,Parma,C,3,6,6.17,3,5
Gineitis,Torino,C,4,5.62,5.75,3,6
Berisha M.,Lecce,C,0,0,0,3,4
Zerbin,Frosinone,C,2,6.25,6.25,3,6
Ricci S.,Como,C,0,0,0,3,3
Zalewski,Atalanta,C,3,6,6.33,3,7
Sohm,Venezia,C,3,5.5,5.17,3,5
Luis Henrique,Inter,C,2,6,6,3,4
Pobega,Bologna,C,3,6,6,3,7
Caqueret,Como,C,3,6.17,6,3,6
Brescianini,Fiorentina,C,3,5.67,5.67,3,3
Adopo,Cagliari,C,4,6.25,6.75,3,8
Fofana Y.*,Milan,C,0,0,0,3,0
El Shaarawy,Genoa,C,1,6,6,3,7
Cataldi,Lazio,C,0,0,0,3,3
De Roon,Roma,C,1,6.5,6.5,3,4
Halhal,Venezia,D,2,4.75,3.5,3,2
Koulierakis,Roma,D,1,6,6,3,7
Viery,Fiorentina,D,3,5.67,5.67,3,6
Obrador,Sassuolo,D,1,6,6,3,6
Helland,Bologna,D,2,6,6,3,3
Bella-Kotchap,Venezia,D,2,5,5,3,5
Siebert,Lecce,D,4,5.62,5.5,3,5
Joao Mario,Fiorentina,D,2,5.25,5.25,3,2
Fortini,Torino,D,4,6.12,6.12,3,7
Vitik,Bologna,D,0,0,0,3,4
Smolcic I.,Como,D,1,5.5,5.5,3,3
Veiga D.,Lecce,D,4,5.88,6.12,3,6
Palma,Udinese,D,1,6.5,6.5,3,2
Ahanor*,Atalanta,D,0,0,0,3,0
Kempf,Como,D,2,6.25,6.25,3,6
Schingtienne,Venezia,D,4,5.25,5,3,2
Lucchesi,Monza,D,4,5.5,5.25,3,4
Gaspar K.,Lecce,D,3,5.33,5,3,4
Comuzzo,Torino,D,4,6,6.75,3,8
Pedersen*,Torino,D,1,6,6,3,0
