Nome,Squadra,Ruolo,QtA,QtI,Diff
Svilar,Roma,P,19,18,1
Carnesecchi,Atalanta,P,16,16,0
Vicario,Juventus,P,16,16,0
Maignan,Milan,P,15,15,0
Martinez Jo.,Inter,P,14,17,-3
Caprile,Cagliari,P,13,9,4
Butez,Como,P,13,16,-3
Mandas,Lazio,P,13,9,4
De Gea,Fiorentina,P,10,13,-3
Skorupski,Bologna,P,9,10,-1
Palmisani,Frosinone,P,9,4,5
Meret,Napoli,P,9,11,-2
Perri,Torino,P,9,9,0
Okoye,Udinese,P,8,9,-1
Sanchez Ro.,Como,P,8,8,0
Falcone,Lecce,P,7,8,-1
Milinkovic-Savic V.,Napoli,P,7,5,2
Bijlow,Genoa,P,6,8,-2
Daffara,Parma,P,5,7,-2
Muric,Sassuolo,P,5,7,-2
Stankovic F.,Venezia,P,5,6,-1
Corvi,Parma,P,4,1,3
Tornqvist,Monza,P,3,1,2
Thiam,Monza,P,3,5,-2
Sportiello,Atalanta,P,1,1,0
Happonen,Bologna,P,1,1,0
Pessina Mas.,Bologna,P,1,1,0
Sherri,Cagliari,P,1,1,0
Vigorito,Como,P,1,1,0
Christensen O.,Fiorentina,P,1,1,0
Lezzerini,Fiorentina,P,1,1,0
Desplanches,Frosinone,P,1,2,-1
Lolic,Frosinone,P,1,1,0
Sommariva,Genoa,P,1,1,0
Stolz,Genoa,P,1,1,0
Di Gennaro,Inter,P,1,1,0
Provedel,Inter,P,1,2,-1
Pinsoglio,Juventus,P,1,1,0
Motta,Lazio,P,1,1,0
Renzetti,Lazio,P,1,1,0
Terracciano,Milan,P,1,1,0
Torriani,Milan,P,1,1,0
Strajnar,Monza,P,1,1,0
Contini,Napoli,P,1,1,0
De Marzi,Roma,P,1,1,0
Gollini,Roma,P,1,1,0
Russo A.,Sassuolo,P,1,1,0
Turati,Sassuolo,P,1,1,0
Mascardi,Torino,P,1,1,0
Siviero,Torino,P,1,1,0
Padelli,Udinese,P,1,1,0
Grandi,Venezia,P,1,1,0
Pozzi,Venezia,P,1,1,0
Satalino,Sassuolo,P,1,1,0
Penev,Lecce,P,1,1,0
Pisseri,Frosinone,P,1,1,0
Radunovic,Cagliari,P,1,1,0
Montipò,Venezia,P,1,1,0
Bleve,Lecce,P,1,1,0
Grabara,Juventus,P,1,1,0
Mrozek,Udinese,P,1,1,0
Ghidotti,Parma,P,1,1,0
Pompei,Atalanta,P,1,1,0
Dimarco,Inter,D,29,32,-3
Wesley,Roma,D,18,17,1
Bremer,Juventus,D,17,15,2
Molina N.,Roma,D,17,18,-1
Rrahmani,Napoli,D,15,14,1
Mancini,Roma,D,15,15,0
Akanji,Inter,D,14,16,-2
Bastoni,Inter,D,13,14,-1
Bisseck,Inter,D,13,11,2
Kalulu,Juventus,D,13,13,0
Gila,Milan,D,13,12,1
Pavlovic,Milan,D,13,14,-1
Ramon,Como,D,12,10,2
Di Lorenzo,Napoli,D,12,12,0
Hermoso,Roma,D,12,10,2
Solet,Udinese,D,12,13,-1
Stones,Inter,D,11,12,-1
N'Dicka,Roma,D,11,13,-2
Scalvini,Atalanta,D,10,10,0
Miranda J.,Bologna,D,10,8,2
Jimenez A.,Fiorentina,D,10,8,2
Ostigard,Genoa,D,10,11,-1
Carlos Augusto,Inter,D,10,7,3
Mangas,Monza,D,10,6,4
Kamara H.,Udinese,D,10,6,4
Spence,Inter,D,10,12,-2
Mina,Cagliari,D,9,8,1
Kaiki,Como,D,9,7,2
Bracaglia,Frosinone,D,9,5,4
Oyono A.,Frosinone,D,9,5,4
Vasquez,Genoa,D,9,9,0
Tavares N.,Lazio,D,9,6,3
Tiago Gabriel,Lecce,D,9,7,2
Valeri,Parma,D,9,8,1
Chalobah T.,Como,D,9,9,0
Lucumì,Juventus,D,8,8,0
Zè Pedro,Cagliari,D,8,5,3
Obert,Cagliari,D,8,7,1
Valle,Como,D,8,6,2
Dragusin,Fiorentina,D,8,8,0
Dodò,Fiorentina,D,8,10,-2
Calvani,Frosinone,D,8,4,4
Celik,Juventus,D,8,8,0
Doekhi,Lazio,D,8,7,1
